catalogNumber                     AA0915
basisOfRecord             LivingSpecimen
decimalLatitude                   348558
decimalLongitude                 6284599
phylum                      Tracheophyta
Class                      Magnoliopsida
order                         Sapindales
family                     Anacardiaceae
genus                            Schinus
specificEpithet                    molle
infraspecificEpithet                 NaN
nameAcordingTo                        L.
verbatimTaxonRank                    NaN
taxonRank                        species
acceptedNameUsage       Schinus molle L.
establishmentMeans                Nativa
locationRemarks                      NaN
sex                        hermaphrodite
Name: AA0915, dtype: object
