catalogNumber                    AA0674
basisOfRecord            LivingSpecimen
decimalLatitude                  348459
decimalLongitude                6284500
phylum                     Tracheophyta
Class                     Magnoliopsida
order                        Sapindales
family                      Sapindaceae
genus                              Acer
specificEpithet                 negundo
infraspecificEpithet                NaN
nameAcordingTo                       L.
verbatimTaxonRank                   NaN
taxonRank                       species
acceptedNameUsage       Acer negundo L.
Nombre común                        NaN
Estado                             Viva
establishmentMeans              Exótica
ingreso                            2019
plantacion                          NaN
locationRemarks                     NaN
sex                       hermaphrodite
Name: AA0674, dtype: object
