catalogNumber                    AA1438
basisOfRecord            LivingSpecimen
decimalLatitude                  348298
decimalLongitude                6284411
phylum                     Tracheophyta
Class                     Magnoliopsida
order                        Sapindales
family                      Sapindaceae
genus                              Acer
specificEpithet                 negundo
infraspecificEpithet                NaN
nameAcordingTo                       L.
verbatimTaxonRank                   NaN
taxonRank                       species
acceptedNameUsage       Acer negundo L.
establishmentMeans              Exótica
locationRemarks                     NaN
sex                       hermaphrodite
Name: AA1438, dtype: object
