catalogNumber                         AA1301
basisOfRecord                 LivingSpecimen
decimalLatitude                       348269
decimalLongitude                     6284377
phylum                          Tracheophyta
Class                          Magnoliopsida
order                                Fabales
family                              Fabaceae
genus                                 Acacia
specificEpithet                     dealbata
infraspecificEpithet                     NaN
nameAcordingTo                          Link
verbatimTaxonRank                        NaN
taxonRank                            species
acceptedNameUsage       Acacia dealbata Link
establishmentMeans                   Exótica
locationRemarks                          NaN
sex                            hermaphrodite
Name: AA1301, dtype: object
